Vessel name,IMO Number,Flag,MMSI,Callsign,National registration number,Crime Report Links,Crime report links
GABRIELA,,,,,P-06-08934,"https://goo.su/qzBLVk, https://goo.su/d5PRqI, https://goo.su/pGLZNz","https://goo.su/qzBLVk, https://goo.su/d5PRqI, https://goo.su/pGLZNz"
LAS II AURORITA,,,,,P-12-00001,,
CARLOS ROBINSON,,,,,P-12-00003,,
FLOPESMANT II,,,,,P-04-00593,,
ANA ISIDORA,,,,,P-00-00297,,
LUCIANITA II,,,,,P--00-00739,,
DON FANIS,,Ecuador,,,P-0000915,,
MEIVIS VALERIA,,,,,P0000408,,
BUENOS AIRES,,,,,P-04-00672,"https://goo.su/fJhwLbe, https://goo.su/iwXEjWU, https://goo.su/brdc, https://goo.su/kzieY, https://goo.su/MzLOsoI, https://goo.su/Ea0UgM7, https://goo.su/ENQXWh1, https://goo.su/Ho0FG, https://goo.su/e4Kl, https://goo.su/JAbBK, https://goo.su/XaqsoV, https://goo.su/XGUtR, https://goo.su/ARVy, https://goo.su/rKdV, https://goo.su/zaSlYQ, https://goo.su/N5za5pM, https://goo.su/fqpR4sR, https://goo.su/QmdEP, https://goo.su/qulzQ, https://goo.su/M0py, https://goo.su/6tPfw9i, https://goo.su/fU29xj, https://goo.su/Oqe4, https://goo.su/KAAPM2, https://goo.su/9SM4cC, https://goo.su/CPD8B1r","https://goo.su/fJhwLbe, https://goo.su/iwXEjWU, https://goo.su/brdc, https://goo.su/kzieY, https://goo.su/MzLOsoI, https://goo.su/Ea0UgM7, https://goo.su/ENQXWh1, https://goo.su/Ho0FG, https://goo.su/e4Kl, https://goo.su/JAbBK, https://goo.su/XaqsoV, https://goo.su/XGUtR, https://goo.su/ARVy, https://goo.su/rKdV, https://goo.su/zaSlYQ, https://goo.su/N5za5pM, https://goo.su/fqpR4sR, https://goo.su/QmdEP, https://goo.su/qulzQ, https://goo.su/M0py, https://goo.su/6tPfw9i, https://goo.su/fU29xj, https://goo.su/Oqe4, https://goo.su/KAAPM2, https://goo.su/9SM4cC, https://goo.su/CPD8B1r"
SIEMPRE MONSERRATE,,Ecuador,,HC5357,P-04-00912,,
MI MORENITA I,,,,,P-04-01087,,
EVVERFISH,,,,,P-04-01028,,
DON FAUSTO I,,,,,P-00-00638,,
DON NICO II,,Ecuador,,HC4285,P -04-00632,,
ARENILLA,,,,,P-04-00431,,
NIÑO ASHER,,,,,P--04-00823,,
DON NICO IV,,Ecuador,,HC5154,P-02-00863,,
EL AGUILA,,,,,P-04-00450,,
DULINAVI XXIV,,,,,P-04-01094,,
POSEIDÓN I,,,,,P-04-01000,,
DON CARLOS II,,,,,P-04-00921,,
NUEVA CADIZ,,Ecuador,,,P-00-00945,,
CAMPITO III,,,,,P-00-00948,,
ISRAEL,,,,,P-04-00539,"https://goo.su/DcZp, https://goo.su/ijIp5Q, https://goo.su/arE54t, https://goo.su/1D6iaoc, https://goo.su/fyzmFMW, https://goo.su/thbeVWj, https://goo.su/gRmOAzz, https://goo.su/aKQTCM6, https://goo.su/MzLOsoI, https://goo.su/za2PO, https://goo.su/ZA5TgUy, https://goo.su/bRcL, https://goo.su/tJMlV, https://goo.su/eu1E, https://goo.su/WdzAdi, https://goo.su/StWyw, https://goo.su/DR6U, https://goo.su/PhktE, https://goo.su/Wv6wP, https://goo.su/GJqG, https://goo.su/NShx, https://goo.su/DLG5, https://goo.su/GNUPPAb, https://goo.su/ESNjc, https://goo.su/AER8l4U, https://goo.su/w2iApSv, https://goo.su/HbBU, https://goo.su/7HLGIgd, https://goo.su/TI1LyzH, https://goo.su/yWD7f2C, https://goo.su/KUswJ, https://goo.su/JEe84r, https://goo.su/iOkUexI","https://goo.su/DcZp, https://goo.su/ijIp5Q, https://goo.su/arE54t, https://goo.su/1D6iaoc, https://goo.su/fyzmFMW, https://goo.su/thbeVWj, https://goo.su/gRmOAzz, https://goo.su/aKQTCM6, https://goo.su/MzLOsoI, https://goo.su/za2PO, https://goo.su/ZA5TgUy, https://goo.su/bRcL, https://goo.su/tJMlV, https://goo.su/eu1E, https://goo.su/WdzAdi, https://goo.su/StWyw, https://goo.su/DR6U, https://goo.su/PhktE, https://goo.su/Wv6wP, https://goo.su/GJqG, https://goo.su/NShx, https://goo.su/DLG5, https://goo.su/GNUPPAb, https://goo.su/ESNjc, https://goo.su/AER8l4U, https://goo.su/w2iApSv, https://goo.su/HbBU, https://goo.su/7HLGIgd, https://goo.su/TI1LyzH, https://goo.su/yWD7f2C, https://goo.su/KUswJ, https://goo.su/JEe84r, https://goo.su/iOkUexI"
SARA SOFIA,,,,,P-04-00889,,
OLIVER,,,,,P-12-00007,"https://goo.su/lQ76Dmn, https://goo.su/cU9KNR","https://goo.su/lQ76Dmn, https://goo.su/cU9KNR"
DOÑA PATTY II,,,,,P-00-0084,,
